episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
2864.179899273738,-59.841712230172945,1862.712817156884,3000.0,20,60000,False,1860000,620,31,80a62af174064170875b539d853081e6,2023-04-24_21-46-08,1682372768,207.39799857139587,6385.754611730576,8673,ubuntu1804,10.128.0.3,6385.754611730576,1860000,31,2,894c9fe2,0,4.780952364296876,1.2462776990037798,0.6027395945585279,1857024,1860000,200815.042,7.655,5994.228,3.864,51.744594594594595,24.598986486486485,9.765625145519152e-05,4.999999873689376e-05,172.88826,0.0009173174,172.88731,-4.4576125e-09,0.006164901,-2.042694,0.0
2802.6754265949135,31.735484249425163,1832.4234082581522,3000.0,20,60000,False,1920000,640,32,80a62af174064170875b539d853081e6,2023-04-24_21-49-35,1682372975,207.21167278289795,6592.9662845134735,8673,ubuntu1804,10.128.0.3,6592.9662845134735,1920000,32,2,894c9fe2,0,4.781904344060746,1.2463690006789578,0.602894281363911,1916928,1920000,201013.893,7.684,5988.608,3.779,51.77804054054054,24.59932432432432,4.882812572759576e-05,4.999999873689376e-05,149.4113,-4.806484e-05,149.41136,-5.8585763e-09,0.007908468,-1.8137218,0.0
2771.1330975614374,116.3310143264843,1831.729642095826,3000.0,20,60000,False,1980000,660,33,80a62af174064170875b539d853081e6,2023-04-24_21-53-02,1682373182,207.2210569381714,6800.187341451645,8673,ubuntu1804,10.128.0.3,6800.187341451645,1980000,33,2,894c9fe2,0,4.782805702350074,1.2466048410964148,0.6030554077288834,1976832,1980000,201003.119,7.663,5984.519,3.783,51.76486486486487,24.599999999999998,2.441406286379788e-05,4.999999873689376e-05,166.63121,-0.00018372215,166.63138,-6.495378e-09,0.004478898,-1.8748388,0.0
2798.7389125889567,116.3310143264843,1862.7172583634385,3000.0,20,60000,False,2040000,680,34,80a62af174064170875b539d853081e6,2023-04-24_21-56-28,1682373388,205.31321692466736,7005.500558376312,8673,ubuntu1804,10.128.0.3,7005.500558376312,2040000,34,2,894c9fe2,0,4.7833239070256335,1.2465827659954178,0.6031672817823484,2036736,2040000,200844.109,7.648,5982.735,3.803,51.704436860068256,24.59965870307167,1.220703143189894e-05,4.999999873689376e-05,167.52551,8.908653e-05,167.5254,-1.7830449e-09,0.006299356,-1.8535769,0.0
2798.7389125889567,250.9684440911777,1964.657695453851,3000.0,20,60000,False,2100000,700,35,80a62af174064170875b539d853081e6,2023-04-24_21-59-56,1682373596,207.94064474105835,7213.441203117371,8673,ubuntu1804,10.128.0.3,7213.441203117371,2100000,35,2,894c9fe2,0,4.784225004678719,1.246717466499704,0.6033007245885175,2096640,2100000,200928.468,7.634,5978.368,3.879,51.7570945945946,24.649999999999995,6.10351571594947e-06,4.999999873689376e-05,173.23238,0.00071729557,173.23167,-2.8019278e-09,0.0049546505,-2.1328578,0.0
2798.7389125889567,425.2884122760523,1928.1734322890743,3000.0,20,60000,False,2160000,720,36,80a62af174064170875b539d853081e6,2023-04-24_22-03-22,1682373802,206.27040004730225,7419.711603164673,8673,ubuntu1804,10.128.0.3,7419.711603164673,2160000,36,2,894c9fe2,0,4.784809837979302,1.2468706107518681,0.603417815853992,2156544,2160000,200982.431,7.699,5973.646,3.716,51.64949152542373,24.672203389830507,3.051757857974735e-06,4.999999873689376e-05,167.97778,7.6879805e-05,167.97769,-2.4198468e-09,0.006385624,-1.9759284,0.0
2831.4187506316016,425.2884122760523,1987.9833576941141,3000.0,20,60000,False,2220000,740,37,80a62af174064170875b539d853081e6,2023-04-24_22-06-49,1682374009,207.32706093788147,7627.038664102554,8673,ubuntu1804,10.128.0.3,7627.038664102554,2220000,37,2,894c9fe2,0,4.785450657450599,1.246894830049222,0.603512089863127,2216448,2220000,200947.265,7.698,5968.955,3.767,51.77593220338982,24.69423728813559,1.5258789289873675e-06,4.999999873689376e-05,202.08167,0.00049610256,202.08116,-6.7500987e-09,0.008521023,-2.170751,0.0
2831.4187506316016,461.7027995233712,1992.2597292330202,3000.0,20,60000,False,2280000,760,38,80a62af174064170875b539d853081e6,2023-04-24_22-10-15,1682374215,205.5645134449005,7832.603177547455,8673,ubuntu1804,10.128.0.3,7832.603177547455,2280000,38,2,894c9fe2,0,4.785868673168454,1.2467413876191573,0.6035863427882022,2276352,2280000,200813.603,7.653,5967.566,3.725,51.7904761904762,24.698299319727887,7.629394644936838e-07,4.999999873689376e-05,199.22263,-0.0008799971,199.2235,-3.5660899e-09,0.0098542655,-2.008171,0.0
2855.846554309032,594.8994940300183,2100.828840631256,3000.0,20,60000,False,2340000,780,39,80a62af174064170875b539d853081e6,2023-04-24_22-13-43,1682374423,208.04554772377014,8040.648725271225,8673,ubuntu1804,10.128.0.3,8040.648725271225,2340000,39,2,894c9fe2,0,4.786725378795547,1.246677605972472,0.6036703776578154,2336256,2340000,200865.007,7.669,5968.963,3.755,51.790572390572386,24.69831649831649,3.814697322468419e-07,4.999999873689376e-05,241.77818,0.0006102553,241.77757,-7.3869004e-09,0.00845055,-2.4573176,0.0
2855.846554309032,594.8994940300183,2082.3632534029693,3000.0,20,60000,False,2400000,800,40,80a62af174064170875b539d853081e6,2023-04-24_22-17-10,1682374630,207.2823703289032,8247.931095600128,8673,ubuntu1804,10.128.0.3,8247.931095600128,2400000,40,2,894c9fe2,0,4.78742656634262,1.246526933392563,0.6037406899771947,2396160,2400000,200967.591,7.671,5969.421,3.622,51.71423728813559,24.69796610169491,1.9073486612342094e-07,4.999999873689376e-05,210.53937,-0.0005038441,210.53987,-1.1971873e-08,0.008271966,-2.169492,0.0
